,pruning threshold,stopping probability,tile drop rate,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
137,7.6696,0.001,0.0,0.015602,1.0,0.8,1.096,0.4,2.5,30.0,1.039351,Tile dropping,human-vs-human,28,3,,
138,3.0,0.005,0.011126,0.01,0.47357,1.0667,1.0,0.41248,3.2548,15.731,2.0657200000000002,Tile dropping,human-vs-human,28,4,,
139,8.5185,0.0014028,0.069379,0.014923,0.94659,0.66645,0.99241,0.25592,2.7029,13.074,1.4463199999999998,Tile dropping,human-vs-human,28,5,,
140,4.778,0.0055412,0.19899,0.01995,1.084,0.61466,0.75847,0.39781,1.4968,15.02,2.6709699999999996,Tile dropping,human-vs-human,29,1,,
141,0.1,0.063586,0.19915,0.01,0.25,0.55775,1.1781,0.21148,2.5,16.667,2.4522500000000003,Tile dropping,human-vs-human,29,2,,
142,2.6905,0.0063889,0.25611,0.012963,0.68573,0.49805,0.74516,0.47776,2.1381,16.605,2.4481200000000003,Tile dropping,human-vs-human,29,3,,
143,4.2655,0.0083016,0.31732,0.019849,1.0103,0.18681,0.82943,0.25929,2.5205,15.094,2.6819300000000004,Tile dropping,human-vs-human,29,4,,
144,10.0,0.02,0.2,0.02,1.1667,0.8,1.0,0.4,2.9088,15.0,2.59388,Tile dropping,human-vs-human,29,5,,
145,10.0,0.001,0.30452,0.02293,2.3701,0.28876,0.60215,0.52005,1.5334,19.719,1.90301,Tile dropping,human-vs-human,30,1,,
146,7.5408,0.0049061,0.3,0.025945,1.3495,0.31589,0.73708,0.3,2.5,20.0,2.53933,Tile dropping,human-vs-human,30,2,,
147,10.0,0.0086389,0.19921,0.039444,2.0127,0.53981,0.55225,0.49306,2.5162,15.074,2.36895,Tile dropping,human-vs-human,30,3,,
148,7.0,0.020764,0.21613,0.02,1.6649,0.58251,0.60051,0.3,3.3333,30.0,2.5648100000000005,Tile dropping,human-vs-human,30,4,,
149,7.8818,0.020529,0.17097,0.031032,1.2792,0.53947,0.50315,0.54739,3.3578,26.217,2.37582,Tile dropping,human-vs-human,30,5,,
150,4.0699,0.001,0.050149,0.01,1.024,0.83461,0.80163,0.32499,2.8326,30.308,1.4615000000000002,Tile dropping,human-vs-human,31,1,,
151,4.6586,0.001,0.05244,0.0125,0.91238,0.79847,0.8012,0.7238,3.4962,11.68,1.60298,Tile dropping,human-vs-human,31,2,,
152,6.0,0.001,0.066666,0.01,0.9394,0.79881,0.8,0.5,3.3148,18.333,1.59321,Tile dropping,human-vs-human,31,3,,
153,4.4022,0.0036063,0.085644,0.030835,0.55826,0.78736,1.0325,0.2947,7.2845,24.017,1.39636,Tile dropping,human-vs-human,31,4,,
154,6.4198,0.001,0.080038,0.027223,0.56252,0.72005,1.0,0.18498,5.0,15.0,1.3385,Tile dropping,human-vs-human,31,5,,
155,2.4478,0.001,0.087503,0.02,0.52624,1.2078,1.0,0.3,3.9806,30.0,1.50172,Tile dropping,human-vs-human,32,1,,
