,stopping probability,feature drop rate,lapse rate,exploration constant,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
134,0.0077298,0.1,0.02,0.34899,0.5,0.8,1.0,0.3,2.5,15.0,2.65015,MCTS,human-vs-human,27,5,,
135,0.0099999,0.0,0.01,0.24887,0.5,1.4601,0.99999,0.3,2.5,30.0,1.9900999999999995,MCTS,human-vs-human,28,1,,
136,0.018944,0.0,0.017988,0.27319,0.375,1.0667,0.88889,0.0,3.3333,20.01,1.7405000000000002,MCTS,human-vs-human,28,2,,
137,0.010923,0.0,0.023333,3.9872e-06,0.42788,1.1526,1.0249,0.14185,2.4995,17.635,1.19195,MCTS,human-vs-human,28,3,,
138,0.0054953,0.20629,0.020005,6.0555e-06,0.45561,5.3402,-0.62329,0.32788,3.3588,49.684,3.2158899999999995,MCTS,human-vs-human,28,4,,
139,0.005,0.0,0.02,0.5,0.5,0.8,1.5,0.3,2.5,15.0,1.68556,MCTS,human-vs-human,28,5,,
140,0.14503,0.34147,0.019843,4.4873e-07,0.31018,0.51186,0.95557,0.39999,1.9856,25.953,2.6267000000000005,MCTS,human-vs-human,29,1,,
141,0.047768,0.30002,0.030001,0.49998,0.25,0.53331,0.99997,0.31748,2.4999,30.0,2.51247,MCTS,human-vs-human,29,2,,
142,0.12,0.075,0.018383,0.0,0.25,0.60242,1.3333,0.3,2.5,15.0,2.38163,MCTS,human-vs-human,29,3,,
143,0.042241,0.35026,0.019578,0.0,0.51437,0.58558,0.97127,0.35731,2.4497,14.77,2.52298,MCTS,human-vs-human,29,4,,
144,0.0053567,0.31667,0.23066,1.2111e-05,0.39752,0.76329,1.1111,0.24168,2.7778,13.333,2.57399,MCTS,human-vs-human,29,5,,
145,0.001,0.34042,0.03,0.0,0.25,0.4,0.42403,0.5,1.5,15.0,2.3359500000000004,MCTS,human-vs-human,30,1,,
146,0.004039,0.29764,0.040963,6.6154e-06,0.35019,0.49032,0.98854,0.40595,2.0842,15.327,2.6474900000000003,MCTS,human-vs-human,30,2,,
147,0.001,0.32252,0.029328,1.1704e-05,0.30742,0.5316,0.56408,0.30573,2.1905,16.856,2.50382,MCTS,human-vs-human,30,3,,
148,0.001,0.28249,0.01,1.5166e-05,0.25,0.44429,1.1272,0.37981,2.7149,13.982,2.4586999999999994,MCTS,human-vs-human,30,4,,
149,0.0012963,0.30002,0.029998,1.2111e-05,0.25,0.41199,0.44334,0.5333,2.5001,35.422,2.23728,MCTS,human-vs-human,30,5,,
150,0.011319,0.19554,0.01,0.36648,0.77118,1.4113,1.2107,0.28159,3.7286,23.014,1.71947,MCTS,human-vs-human,31,1,,
151,0.0051241,0.125,0.017705,0.31827,1.0,1.0,0.79014,0.66667,3.0116,34.227,1.7644100000000003,MCTS,human-vs-human,31,2,,
152,0.028577,0.14257,0.018684,0.3097,0.7188,1.1313,0.74626,0.50249,3.2571,20.786,1.77439,MCTS,human-vs-human,31,3,,
153,0.0078048,0.13192,0.014501,0.38121,0.83779,0.89268,0.89443,0.29717,4.4342,9.8948,1.60779,MCTS,human-vs-human,31,4,,
154,0.0050616,0.17836,0.024921,0.26494,0.59767,1.2861,1.0364,0.65105,3.4451,14.709,1.55268,MCTS,human-vs-human,31,5,,
155,0.0077151,0.19171,0.03,0.43313,0.94963,1.156,0.85522,0.3,2.5,15.0,1.7769300000000001,MCTS,human-vs-human,32,1,,
156,0.0048707,0.18705,0.018618,0.38919,0.62341,2.9858,0.82909,0.24713,3.0687,14.971,1.31086,MCTS,human-vs-human,32,2,,
157,0.016638,0.2,0.01,0.5,1.0,2.499,1.0,0.5,3.5,20.0,1.78367,MCTS,human-vs-human,32,3,,
158,0.0065502,0.24762,0.01,0.44404,0.92354,2.154,0.996,1.4644,3.3034,14.325,1.7607699999999997,MCTS,human-vs-human,32,4,,
159,0.003916,0.17414,0.01,0.39855,0.89603,1.7906,1.0696,0.38723,2.9986,18.577,2.0532899999999996,MCTS,human-vs-human,32,5,,
160,0.042942,0.19518,0.020307,0.47324,0.83727,0.52258,1.0154,0.42623,4.6321,14.677,1.74919,MCTS,human-vs-human,33,1,,
161,0.013963,0.28333,0.024148,0.5,1.0,0.8,1.0,0.6,4.6667,10.0,2.0852899999999996,MCTS,human-vs-human,33,2,,
