,pruning threshold,stopping probability,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,connected 2-in-a-row drop rate,unconnected 2-in-a-row drop rate,3-in-a-row drop rate,4-in-a-row drop rate,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
67,7.3877,0.001,0.019444,2.1909,0.4,0.59864,0.0,3.3333,20.0,0.27338,0.21117,0.4,0.3,2.04405,Type-dependent dropping,human-vs-human,14,3,,
68,6.0835,0.0065387,0.022222,2.0583,0.38299,0.79048,0.38127,2.8333,-1.6667,0.1844,0.2,0.18889,0.2,2.18495,Type-dependent dropping,human-vs-human,14,4,,
69,5.9397,0.010206,0.020381,2.0,0.034636,0.78721,0.3,2.5,15.0,0.13333,0.2,0.2,0.4,1.53675,Type-dependent dropping,human-vs-human,14,5,,
70,2.1879,0.0095,0.018333,1.0208,0.8,0.8,1.0,3.5,15.0,0.32189,0.1,0.2,0.27447,1.7034299999999998,Type-dependent dropping,human-vs-human,15,1,,
71,5.0,0.01,0.017019,0.5,0.5447,1.0,1.562,5.0,15.0,0.21021,0.2,0.2,0.2,1.56676,Type-dependent dropping,human-vs-human,15,2,,
72,2.5167,0.005,0.015522,0.84023,0.66288,1.0,1.6487,4.6667,15.0,0.2,0.2,0.2,0.2,1.61863,Type-dependent dropping,human-vs-human,15,3,,
73,3.0,0.001,0.01,0.79407,0.8,0.69507,0.5,3.5,10.0,0.3,0.2,0.2,0.1,2.32201,Type-dependent dropping,human-vs-human,15,4,,
74,2.5825,0.0072314,0.02,1.0,0.8,1.0,1.5094,5.0,30.0,0.14479,0.2,0.2,0.26798,2.13523,Type-dependent dropping,human-vs-human,15,5,,
75,4.1833,0.001,0.026569,1.0,0.8,0.75817,0.3,2.7233,20.0,0.16667,0.2,0.2,0.1,2.6117000000000004,Type-dependent dropping,human-vs-human,16,1,,
76,3.9515,0.001,0.04,1.0,0.5434,0.88601,0.93458,3.5,15.0,0.2,0.18889,0.2,0.16667,2.1065899999999997,Type-dependent dropping,human-vs-human,16,2,,
77,5.2376,0.003547,0.027908,1.0927,0.61237,0.93408,0.63592,3.8889,66.827,0.32981,0.058642,0.21604,0.18889,1.32338,Type-dependent dropping,human-vs-human,16,3,,
78,3.0,0.005,0.02,1.0,0.60386,0.62134,0.4,2.5,10.0,0.16667,0.1,0.2,0.1,1.8303,Type-dependent dropping,human-vs-human,16,4,,
79,1.9598,0.001,0.01,0.5,0.75757,1.0696,0.4,5.0,15.0,0.27736,0.2,0.2045,0.20625,1.75993,Type-dependent dropping,human-vs-human,16,5,,
80,8.1456,0.018944,0.01,1.0,0.8,0.91534,0.4,2.5,15.0,0.2,0.16667,0.21498,0.2,2.0242299999999998,Type-dependent dropping,human-vs-human,17,1,,
81,4.9935,0.011003,0.020025,1.0507,0.39877,0.99779,0.59856,3.3372,14.982,0.26785,0.20089,0.21533,0.18712,2.52473,Type-dependent dropping,human-vs-human,17,2,,
82,4.9998,0.016664,0.019998,0.79172,0.62995,1.2619,0.30005,3.3332,14.999,0.20003,0.20003,0.20003,0.18888,2.71601,Type-dependent dropping,human-vs-human,17,3,,
83,10.0,0.01,0.02,1.0,0.5264,1.0,0.3,2.5,15.0,0.2,0.2,0.2,0.16667,2.1818300000000006,Type-dependent dropping,human-vs-human,17,4,,
84,5.0,0.008367,0.01,1.0,0.8,1.0,0.3,2.5,15.0,0.2,0.2,0.2,0.3,2.63314,Type-dependent dropping,human-vs-human,17,5,,
85,5.5005,0.0098889,0.010833,0.51809,0.32617,0.87795,0.64846,3.0524,26.634,0.20123,0.19877,0.32227,0.20005,1.86935,Type-dependent dropping,human-vs-human,18,1,,
86,5.0,0.013189,0.015,0.40741,0.23196,0.59901,0.66667,2.1268,15.0,0.2,0.2,0.18963,0.16667,2.3869599999999997,Type-dependent dropping,human-vs-human,18,2,,
87,10.0,0.0125,0.02,0.5,0.4,1.0,0.3,2.5,15.0,0.2,0.2,0.2,0.2,2.5479899999999995,Type-dependent dropping,human-vs-human,18,3,,
88,7.5883,0.02566,0.017021,0.42553,0.31907,0.85107,0.39681,2.7606,5.634,0.36773,0.25957,0.25719,0.14899,2.3259000000000003,Type-dependent dropping,human-vs-human,18,4,,
89,7.0,0.01,0.021994,0.5,-0.52545,1.0,0.53538,2.5,-0.67781,0.1,0.2,0.2,0.2,2.83612,Type-dependent dropping,human-vs-human,18,5,,
90,9.5367,0.001,0.020962,1.0019,0.79961,1.0004,0.29971,4.061,6.9932,0.20278,0.20018,0.20578,0.20018,1.79723,Type-dependent dropping,human-vs-human,19,1,,
91,8.3953,0.001,0.019988,1.0,0.789,0.79389,0.3,2.5,15.0,0.23096,0.2,0.16667,0.18669,1.62372,Type-dependent dropping,human-vs-human,19,2,,
92,3.7292,0.001,0.034539,0.79334,1.0126,0.94498,0.45351,3.7466,16.89,0.27749,0.10553,0.10553,0.10553,1.5852499999999998,Type-dependent dropping,human-vs-human,19,3,,
