,pruning threshold,stopping probability,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,horizontal feature drop rate,vertical feature drop rate,diagonal feature drop rate,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
85,3.525,0.001,0.021571,0.75,0.05,0.68068,0.66445,1.5744,9.1723,0.10224,0.0984,0.25459,1.9360699999999997,Orientation-dependent dropping,human-vs-human,18,1,,
86,7.0,0.010168,0.020236,0.57151,0.44444,0.8,0.84444,3.3333,15.556,0.2,0.2,0.2,2.41245,Orientation-dependent dropping,human-vs-human,18,2,,
87,8.4046,0.0047886,0.015,0.25,0.44896,1.0,0.3,2.5,15.0,0.16667,0.2,0.2,2.6761900000000005,Orientation-dependent dropping,human-vs-human,18,3,,
88,5.0,0.016833,0.03,0.5,0.4,1.0,0.4,3.0414,5.3656,0.1,0.2,0.2,2.4255199999999997,Orientation-dependent dropping,human-vs-human,18,4,,
89,6.8631,0.011667,0.01,0.5,0.16718,1.0,1.0,5.0,8.5562,0.21111,0.2,0.2,2.74636,Orientation-dependent dropping,human-vs-human,18,5,,
90,6.0466,0.001,0.02,0.5,1.1111,0.72222,0.66667,3.7291,15.0,0.2,0.39457,0.2,1.66715,Orientation-dependent dropping,human-vs-human,19,1,,
91,5.2231,0.001,0.01,0.25,1.0667,0.91111,1.5494,2.5,16.667,0.2,0.2,0.2,1.63658,Orientation-dependent dropping,human-vs-human,19,2,,
92,3.7725,0.0024666,0.04,0.56448,1.0667,0.8,0.3,4.6667,26.667,0.13333,0.2,0.2,1.60545,Orientation-dependent dropping,human-vs-human,19,3,,
93,7.4052,0.001,0.02,1.0507,0.8,0.99999,2.1537,3.805,30.0,0.2,0.2,0.16667,1.45773,Orientation-dependent dropping,human-vs-human,19,4,,
94,3.9205,0.001,0.02,0.5518,0.73691,0.99653,0.5,3.6912,20.0,0.18655,0.15556,0.19538,0.7253260000000001,Orientation-dependent dropping,human-vs-human,19,5,,
95,2.2066,0.02,0.03,0.65665,0.8,1.0,0.3,5.0,200.0,0.2,0.2,0.16667,1.86648,Orientation-dependent dropping,human-vs-human,20,1,,
96,3.0513,0.001,0.01,0.54377,0.30788,1.3851,0.37719,3.8854,14.557,0.24964,0.13846,0.10286,1.9766100000000002,Orientation-dependent dropping,human-vs-human,20,2,,
97,2.7049,0.001,0.02,0.625,0.55246,1.0,0.040219,2.5,15.0,0.2,0.2,0.2,1.9212600000000002,Orientation-dependent dropping,human-vs-human,20,3,,
98,2.9992,0.001,0.020555,1.0135,0.52861,0.78103,0.28194,3.3064,20.222,0.18889,0.19762,0.18889,1.92807,Orientation-dependent dropping,human-vs-human,20,4,,
99,5.0019,0.0040038,0.01,1.0255,0.56354,0.86813,0.66714,3.2463,19.997,0.20025,0.083438,0.19975,1.50199,Orientation-dependent dropping,human-vs-human,20,5,,
100,8.1887,0.001846,0.0125,0.25,1.1702,1.0263,0.3,3.7897,15.0,0.23786,0.15677,0.097917,1.266,Orientation-dependent dropping,human-vs-human,21,1,,
101,9.0383,0.001,0.014685,0.63291,1.0392,0.91367,0.47189,4.5348,17.511,0.30633,0.054406,0.094791,1.43643,Orientation-dependent dropping,human-vs-human,21,2,,
102,3.525,0.001962,0.03,0.5625,1.3245,0.5,-0.025,4.2078,11.0,0.4,0.4,0.0,1.25134,Orientation-dependent dropping,human-vs-human,21,3,,
103,3.0,0.001,0.01,0.25,1.1855,1.0,0.3,6.0506,200.0,0.21125,0.2,0.2,1.4713699999999998,Orientation-dependent dropping,human-vs-human,21,4,,
104,7.8183,0.001,0.010833,0.41667,1.0802,1.4121,0.016499,3.3874,18.086,0.37528,0.19582,0.20612,1.4221499999999998,Orientation-dependent dropping,human-vs-human,21,5,,
105,3.7833,0.0022227,0.02168,0.74027,0.75275,1.0,0.3,2.5,15.0,0.2,0.22262,0.2,2.2228,Orientation-dependent dropping,human-vs-human,22,1,,
106,1.8778,0.0089533,0.03,0.40545,1.0,1.0667,0.5,3.2778,15.0,0.25452,0.2027,0.16183,1.8375,Orientation-dependent dropping,human-vs-human,22,2,,
107,7.3443,0.01,0.01,0.5,0.74512,1.4916,0.4,3.3333,8.0589,0.2,0.2,0.2,1.5486300000000002,Orientation-dependent dropping,human-vs-human,22,3,,
108,7.2223,0.0099999,0.01,0.59251,0.82477,1.152,-0.53375,2.5,15.0,0.2,0.2,0.2,1.80106,Orientation-dependent dropping,human-vs-human,22,4,,
109,5.6559,0.0092082,0.01,0.25,1.009,1.5338,0.032419,2.5,14.852,0.062385,0.2,0.26733,1.8672,Orientation-dependent dropping,human-vs-human,22,5,,
110,0.1,0.01,0.02,1.0,0.28168,1.0,0.5,2.5,30.0,0.2,0.2,0.2,1.7912700000000001,Orientation-dependent dropping,human-vs-human,23,1,,
111,1.5213,0.054667,0.020378,1.0159,0.8,1.1556,0.4,3.3333,8.1695,0.13333,0.21043,0.20061,2.35555,Orientation-dependent dropping,human-vs-human,23,2,,
112,0.1,0.34667,0.016667,0.98611,0.31279,1.0,0.33333,2.5,15.0,0.2,0.22191,0.2,2.27201,Orientation-dependent dropping,human-vs-human,23,3,,
113,0.1,0.0099999,0.03,0.95833,0.44863,1.0,0.4,2.5,15.0,0.4,0.17008,0.2,1.8296199999999998,Orientation-dependent dropping,human-vs-human,23,4,,
114,3.0,0.02,0.020622,2.0,0.8,1.0,0.5,3.3333,15.0,0.31244,0.16667,0.24553,2.01233,Orientation-dependent dropping,human-vs-human,23,5,,
115,3.8213,0.0098183,0.017542,1.2996,0.30119,1.1111,0.55555,2.5,-135.0,0.4,0.16868,0.3388,2.2383999999999995,Orientation-dependent dropping,human-vs-human,24,1,,
116,3.3864,0.023463,0.091111,1.0,0.35007,1.0499,0.39352,3.6712,-32.105,0.49347,0.2069,0.19259,2.68336,Orientation-dependent dropping,human-vs-human,24,2,,
117,4.2329,0.0096978,0.24772,1.4928,0.24772,0.81511,0.51259,1.4882,20.176,0.20167,0.21579,0.40488,2.5205000000000006,Orientation-dependent dropping,human-vs-human,24,3,,
118,1.55,0.023333,0.051814,0.25,0.26799,2.0,0.5,2.5,15.0,0.2,0.3,0.2,2.81873,Orientation-dependent dropping,human-vs-human,24,4,,
119,2.0251,0.039002,0.115,0.25,0.70962,3.7194,0.62495,2.3736,26.001,0.39998,0.0,0.39997,2.54291,Orientation-dependent dropping,human-vs-human,24,5,,
120,4.6406,0.0056246,0.045792,1.0294,0.4,0.8,1.1021,3.8889,15.0,0.2,0.4,0.2,1.6606400000000001,Orientation-dependent dropping,human-vs-human,25,1,,
121,5.7268,0.0037637,0.019881,1.0293,0.762,1.005,0.33719,3.8652,9.9674,0.26904,0.2053,0.20098,3.44161,Orientation-dependent dropping,human-vs-human,25,2,,
122,0.1,0.001,0.05,0.25,0.35,0.5,0.925,4.2083,19.0,0.10088,0.29851,0.23054,1.8301500000000002,Orientation-dependent dropping,human-vs-human,25,3,,
123,6.4747,0.001,0.13001,1.0,0.56399,1.0,0.5,3.5,20.0,0.4,0.1,0.2,2.2379100000000003,Orientation-dependent dropping,human-vs-human,25,4,,
