,pruning threshold,stopping probability,feature drop rate,lapse rate,active scaling constant,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
174,9.9999,0.001,0.21367,0.02,1.362,2.2946999999999997,Optimal weights,human-vs-human,35,5,,
175,1.6028,0.001,0.29024,0.01,1.2864,2.1972499999999995,Optimal weights,human-vs-human,36,1,,
176,3.5,0.005,0.34836,0.026114,1.362,1.6214000000000002,Optimal weights,human-vs-human,36,2,,
177,1.784,0.005,0.2,0.02,1.362,2.14141,Optimal weights,human-vs-human,36,3,,
178,5.1492,0.001,0.49745,0.027233,1.3058,1.8497599999999998,Optimal weights,human-vs-human,36,4,,
179,1.3083,0.0096903,0.30148,0.01,1.0997,1.9962,Optimal weights,human-vs-human,36,5,,
180,4.9274,0.018012,0.44391,0.019987,1.5926,2.6509000000000005,Optimal weights,human-vs-human,37,1,,
181,2.5167,0.02,0.42429,0.03,1.258,2.2968900000000003,Optimal weights,human-vs-human,37,2,,
182,2.229,0.01786,0.60247,0.020114,1.9493,1.92782,Optimal weights,human-vs-human,37,3,,
183,4.5,0.57299,0.33989,0.022708,1.362,2.12231,Optimal weights,human-vs-human,37,4,,
184,0.1,0.00125,0.48171,0.10407,1.362,2.4809900000000003,Optimal weights,human-vs-human,37,5,,
185,7.0,0.02,0.42945,0.015,1.362,2.0284899999999997,Optimal weights,human-vs-human,38,1,,
186,6.6645,0.027228,0.55404,0.019527,1.4513,2.21559,Optimal weights,human-vs-human,38,2,,
187,3.9879,0.015,0.36953,0.018188,1.3028,2.9098699999999997,Optimal weights,human-vs-human,38,3,,
188,3.0612,0.022975,0.30003,0.046667,0.79166,2.6734300000000006,Optimal weights,human-vs-human,38,4,,
189,5.3665,0.028897,0.6,0.01,1.362,1.7401400000000002,Optimal weights,human-vs-human,38,5,,
190,7.7041,0.011738,0.60217,0.021592,2.7201,2.24454,Optimal weights,human-vs-human,39,1,,
191,3.8984,0.082626,0.21712,0.02,1.9471,2.53634,Optimal weights,human-vs-human,39,2,,
192,5.0,0.01,0.3,0.02,1.362,1.96209,Optimal weights,human-vs-human,39,3,,
193,5.9331,0.001,0.58276,0.014693,3.0736,2.3584500000000004,Optimal weights,human-vs-human,39,4,,
194,7.0,0.01,0.30267,0.01758,1.362,2.02733,Optimal weights,human-vs-human,39,5,,
195,6.6257,0.029831,0.21534,0.039937,1.4003,2.4469900000000004,Optimal weights,human-vs-human,40,1,,
196,7.0276,0.001,0.52801,0.017692,1.5288,1.79986,Optimal weights,human-vs-human,40,2,,
197,10.0,0.0026171,0.49311,0.035432,0.97293,2.45004,Optimal weights,human-vs-human,40,3,,
198,10.0,0.0035783,0.59955,0.020339,1.3629,2.14872,Optimal weights,human-vs-human,40,4,,
199,5.0817,0.01,0.47954,0.01652,1.362,1.6509899999999997,Optimal weights,human-vs-human,40,5,,
200,4.0248,0.001,0.26041,0.01,1.9525,1.70043,Optimal weights,generalization,1,1,,
201,5.2622,0.001,0.37948,0.018426,2.7659,1.38581,Optimal weights,generalization,1,2,,
202,8.6377,0.001,0.49988,0.019802,4.4531,1.79583,Optimal weights,generalization,1,3,,
203,3.3485,0.001,0.21348,0.01505,2.2508,2.1478099999999998,Optimal weights,generalization,1,4,,
204,5.2189,0.001,0.31131,0.015556,2.9505,1.8405099999999996,Optimal weights,generalization,1,5,,
205,4.9048,0.001,0.2,0.01,1.2864,1.30721,Optimal weights,generalization,2,1,,
206,6.6389,0.01,0.1,0.020716,1.362,2.02233,Optimal weights,generalization,2,2,,
207,10.0,0.0033201,0.45847,0.030741,2.6745,1.40537,Optimal weights,generalization,2,3,,
208,6.6667,0.0051088,0.1922,0.02555,1.9902,1.4773999999999998,Optimal weights,generalization,2,4,,
209,6.628,0.001,0.23598,0.014153,1.2471,1.5957599999999998,Optimal weights,generalization,2,5,,
210,0.1,0.017941,0.25029,0.073196,1.0024,1.92013,Optimal weights,generalization,3,1,,
211,0.1,0.011492,0.2,0.02314,1.2588,2.34776,Optimal weights,generalization,3,2,,
212,5.1204,0.011911,0.21632,0.020816,1.1924,2.25894,Optimal weights,generalization,3,3,,
213,0.1,0.01444,0.2,0.037693,1.362,2.3087000000000004,Optimal weights,generalization,3,4,,
214,5.2198,0.18026,0.19603,0.02425,1.0713,2.06571,Optimal weights,generalization,3,5,,
215,2.0333,0.01,0.86843,0.022068,1.9807,2.6496900000000005,Optimal weights,generalization,4,1,,
216,1.6335,0.02201,0.89362,0.013125,1.7241,2.85456,Optimal weights,generalization,4,2,,
217,0.58341,0.026797,0.51921,0.22424,0.79148,2.85595,Optimal weights,generalization,4,3,,
218,4.1941,0.013475,0.78387,0.017646,2.0231,2.9586099999999997,Optimal weights,generalization,4,4,,
219,7.0,0.011667,0.8,0.032034,3.3817,2.7756700000000003,Optimal weights,generalization,4,5,,
220,1.7065,0.001,0.54325,0.011723,1.9526,2.7415600000000007,Optimal weights,generalization,5,1,,
221,2.9411,1.0,0.56077,0.073112,2.3912,2.2370600000000005,Optimal weights,generalization,5,2,,
222,2.1135,0.0056385,0.44882,0.10546,1.6719,2.5060700000000002,Optimal weights,generalization,5,3,,
223,4.7459,0.48198,0.38664,0.04156,1.4622,2.23628,Optimal weights,generalization,5,4,,
224,2.5405,0.0049125,0.47083,0.01,1.3627,2.4209799999999992,Optimal weights,generalization,5,5,,
225,7.5273,0.001,0.32721,0.02,2.7241,1.7105599999999999,Optimal weights,generalization,6,1,,
226,7.663,0.005,0.40738,0.01,2.2129,1.8078599999999998,Optimal weights,generalization,6,2,,
227,10.0,0.001,0.3,0.019298,1.362,1.9878900000000002,Optimal weights,generalization,6,3,,
228,10.0,0.0067064,0.37882,0.019728,2.1784,1.62023,Optimal weights,generalization,6,4,,
229,6.7354,0.001,0.40291,0.025032,2.3342,1.64127,Optimal weights,generalization,6,5,,
230,5.0,0.01,0.2,0.02,1.362,2.39675,Optimal weights,generalization,7,1,,
231,9.2651,0.0034167,0.27694,0.018591,1.5521,1.94102,Optimal weights,generalization,7,2,,
232,7.0228,0.020033,0.19865,0.021927,1.5021,1.92334,Optimal weights,generalization,7,3,,
233,8.1331,0.02,0.25656,0.022071,1.362,1.5813,Optimal weights,generalization,7,4,,
234,7.1204,0.011378,0.24422,0.017078,1.3319,1.91262,Optimal weights,generalization,7,5,,
235,6.5264,0.001,0.4,0.021123,1.362,2.32605,Optimal weights,generalization,8,1,,
236,4.152,0.0099648,0.3009,0.030078,1.3598,2.04308,Optimal weights,generalization,8,2,,
237,10.0,0.0010021,0.61687,0.034107,2.1619,1.81178,Optimal weights,generalization,8,3,,
238,7.0021,0.009719,0.20008,0.02001,1.3622,1.7539799999999999,Optimal weights,generalization,8,4,,
239,3.0,0.005,0.20668,0.01,1.4746,1.69756,Optimal weights,generalization,8,5,,
240,2.6692,0.01,0.4,0.02,1.362,1.95805,Optimal weights,generalization,9,1,,
241,4.4195,0.0052671,0.26503,0.016942,1.3569,1.88679,Optimal weights,generalization,9,2,,
242,7.0,0.01082,0.1,0.02,1.135,1.98129,Optimal weights,generalization,9,3,,
