,feature drop rate,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
88,0.14382,0.033969,1.0157,0.23211,0.46045,0.57101,1.9691,29.24,2.4386799999999997,No tree,human-vs-human,18,4,,
89,0.32715,0.01,0.95953,0.092278,0.78795,0.59368,2.5259,-35.223,2.7419200000000004,No tree,human-vs-human,18,5,,
90,0.056498,0.012855,0.30554,0.82979,1.2859,0.1914,7.6454,32.295,1.7836500000000002,No tree,human-vs-human,19,1,,
91,0.066094,0.01,0.51227,0.46505,0.87919,0.63713,3.8122,-47.903,2.0021899999999997,No tree,human-vs-human,19,2,,
92,0.0,0.025639,0.41486,0.71806,1.1055,0.58326,4.1343,1.4273,1.6212700000000002,No tree,human-vs-human,19,3,,
93,0.0,0.020009,0.44921,1.0005,1.0001,2.0997,5.4692,-179.99,1.4142899999999998,No tree,human-vs-human,19,4,,
94,0.0,0.030055,0.43333,0.6386,1.0997,1.5733,7.0025,19.983,0.765764,No tree,human-vs-human,19,5,,
95,0.015808,0.022943,0.39784,0.72825,1.1349,0.80152,3.783,20.051,1.7776500000000002,No tree,human-vs-human,20,1,,
96,0.10141,0.01,0.37055,0.9227,2.0896,2.3464,6.7834,-0.19661,1.77673,No tree,human-vs-human,20,2,,
97,0.1262,0.01,0.44095,0.59705,1.5303,0.41951,4.9394,10.711,1.86494,No tree,human-vs-human,20,3,,
98,0.066667,0.02,0.5,0.4,1.0,1.3107,3.5,15.0,1.8860800000000002,No tree,human-vs-human,20,4,,
99,0.0,0.03202,0.40463,0.10316,0.91057,0.16722,3.5518,10.192,1.3946500000000002,No tree,human-vs-human,20,5,,
100,0.091643,0.013967,0.38504,1.6029,1.1906,0.099951,7.4289,16.525,1.47588,No tree,human-vs-human,21,1,,
101,0.15762,0.01,0.45838,1.0117,0.99979,0.44609,6.9995,6.495,1.3673899999999999,No tree,human-vs-human,21,2,,
102,0.42654,0.02,0.78852,1.3333,0.68737,0.4,19.979,-16.686,1.23671,No tree,human-vs-human,21,3,,
103,0.10895,0.01,0.47516,1.2399,1.1117,0.75043,6.7487,-33.433,1.51533,No tree,human-vs-human,21,4,,
104,0.16667,0.01,0.5,1.2769,0.8,0.5,5.8334,43.426,1.3489300000000002,No tree,human-vs-human,21,5,,
105,0.12203,0.020174,0.25,0.88889,0.8,0.3,4.6667,30.0,2.23106,No tree,human-vs-human,22,1,,
106,0.33744,0.029194,0.39656,0.86869,1.3234,0.42489,5.5659,-920.89,1.8433800000000002,No tree,human-vs-human,22,2,,
107,0.3,0.016667,0.48545,0.82817,1.0,0.4,3.5,-660.0,1.56292,No tree,human-vs-human,22,3,,
108,0.32637,0.01,0.5,0.8,1.1836,0.23241,4.2648,8.8539,1.89725,No tree,human-vs-human,22,4,,
109,0.079832,0.01,0.26271,0.98597,0.88575,0.66667,3.5,20.0,2.0035300000000005,No tree,human-vs-human,22,5,,
110,0.22318,0.087097,0.96724,0.55197,1.0148,0.42316,2.8759,11.607,1.8066099999999998,No tree,human-vs-human,23,1,,
111,0.2,0.03,1.0,0.4,1.0,0.3,2.5,15.0,2.22841,No tree,human-vs-human,23,2,,
112,0.17844,0.037356,1.0006,0.42161,1.0045,0.29709,2.4922,15.036,2.22107,No tree,human-vs-human,23,3,,
113,0.1,0.026667,0.87775,0.47565,0.99999,0.3,2.5,15.0,2.0949400000000002,No tree,human-vs-human,23,4,,
114,0.16334,0.031335,0.8024,0.50598,1.0825,0.19081,3.6544,27.047,2.01886,No tree,human-vs-human,23,5,,
115,0.39542,0.01,0.25,0.19747,1.4928,0.30373,2.49,11.621,2.1397000000000004,No tree,human-vs-human,24,1,,
116,0.29901,0.030073,0.25,-0.047621,0.99818,0.29916,2.5032,14.988,2.5089900000000003,No tree,human-vs-human,24,2,,
117,0.29359,0.020482,0.25,0.11609,2.6664,0.50014,2.5004,-8.1879,2.47253,No tree,human-vs-human,24,3,,
118,0.275,0.03,0.25,-0.48371,2.375,0.875,3.375,11.0,2.79777,No tree,human-vs-human,24,4,,
119,0.3,0.01,0.25,0.14216,2.0,0.3,2.5,15.0,2.5184399999999996,No tree,human-vs-human,24,5,,
120,0.13086,0.10331,0.29114,0.16663,0.99717,0.73614,4.7871,-31.205,1.831,No tree,human-vs-human,25,1,,
121,0.0,0.25636,0.25,0.60026,1.7088,1.5977,5.4244,-129.06,3.1051200000000003,No tree,human-vs-human,25,2,,
122,0.19164,0.18985,0.38508,0.5047,0.86739,0.56577,3.7027,15.793,2.0905499999999995,No tree,human-vs-human,25,3,,
123,0.0,0.01,0.25,0.10843,1.3333,1.8413,3.506,30.0,2.60898,No tree,human-vs-human,25,4,,
124,0.13047,0.031111,0.39874,0.42659,1.014,0.71111,2.5,33.334,1.92165,No tree,human-vs-human,25,5,,
125,0.3,0.01,0.84123,0.76414,0.76191,0.5,3.3333,15.0,1.7360499999999999,No tree,human-vs-human,26,1,,
126,0.23571,0.01,0.62592,0.80958,0.9916,0.61412,3.2488,15.065,1.3949299999999998,No tree,human-vs-human,26,2,,
127,0.25248,0.02,0.45739,0.4,1.0,0.3,4.6667,7.3008,2.2990000000000004,No tree,human-vs-human,26,3,,
128,0.1,0.02,0.5,0.8,0.8,0.3,3.5,15.0,1.9518500000000003,No tree,human-vs-human,26,4,,
129,0.31272,0.02,0.84924,0.98025,0.8,0.3,2.5,10.0,2.11409,No tree,human-vs-human,26,5,,
130,0.14984,0.017508,0.4377,0.65647,0.69595,0.38151,7.2804,10.685,2.2404800000000002,No tree,human-vs-human,27,1,,
131,0.19983,0.01,0.45632,0.39662,1.0048,0.29686,3.5109,-24.814,1.68383,No tree,human-vs-human,27,2,,
132,0.18889,0.02,0.625,0.28407,0.47592,0.3,2.5,15.0,1.6616799999999998,No tree,human-vs-human,27,3,,
133,0.28814,0.020003,0.44694,0.36268,1.0279,0.5182,3.7698,11.831,2.6616600000000004,No tree,human-vs-human,27,4,,
134,0.28972,0.027136,0.40851,0.52809,1.1102,0.52809,6.8566,4.1795,2.4002499999999998,No tree,human-vs-human,27,5,,
135,6.0554e-06,0.021905,0.25,0.99306,1.007,0.3033,3.5149,15.054,1.69415,No tree,human-vs-human,28,1,,
136,0.0,0.027363,0.42791,0.79946,0.99937,1.1055,3.627,-21.333,1.67912,No tree,human-vs-human,28,2,,
137,0.12748,0.045,0.25,0.8,1.0,0.3,5.0,15.0,0.986102,No tree,human-vs-human,28,3,,
138,0.0,0.01,0.25,0.42612,1.1336,0.61592,4.625,18.63,2.2988,No tree,human-vs-human,28,4,,
139,0.066667,0.02,0.52778,1.1111,1.0,0.3,2.5,15.0,2.13994,No tree,human-vs-human,28,5,,
140,0.0,0.02,0.28828,0.33346,1.0,1.0556,2.5,30.0,2.67431,No tree,human-vs-human,29,1,,
141,0.0,0.46441,0.37654,0.4,1.0667,0.66667,2.5,11.667,2.5028900000000003,No tree,human-vs-human,29,2,,
142,0.16667,0.04,0.25,0.28889,1.0,0.3,2.5,15.0,2.40228,No tree,human-vs-human,29,3,,
143,0.0,0.021615,0.25,0.24475,1.2665,0.83925,2.64,22.452,2.65531,No tree,human-vs-human,29,4,,
144,0.2113,0.021191,0.33835,0.3978,0.80283,0.30204,2.5055,15.025,2.47703,No tree,human-vs-human,29,5,,
145,0.1953,0.01,0.25,0.0091295,1.7689,1.5226,3.7193,35.574,1.8404099999999999,No tree,human-vs-human,30,1,,
